CMDLINE python3 mongo.py
MEM 29.585938 1524473586.0353
MEM 29.585938 1524473586.1357
MEM 29.585938 1524473586.2361
MEM 29.585938 1524473586.3363
MEM 29.585938 1524473586.4367
MEM 29.585938 1524473586.5371
MEM 29.585938 1524473586.6376
MEM 29.585938 1524473586.7380
MEM 29.585938 1524473586.8385
MEM 29.585938 1524473586.9389
MEM 29.585938 1524473587.0394
MEM 29.585938 1524473587.1398
MEM 29.585938 1524473587.2402
MEM 29.585938 1524473587.3406
MEM 29.585938 1524473587.4410
MEM 29.585938 1524473587.5414
MEM 29.585938 1524473587.6418
MEM 29.585938 1524473587.7422
MEM 29.585938 1524473587.8427
MEM 29.585938 1524473587.9431
MEM 29.585938 1524473588.0436
MEM 29.585938 1524473588.1440
MEM 29.585938 1524473588.2443
MEM 29.585938 1524473588.3447
MEM 29.585938 1524473588.4452
MEM 29.585938 1524473588.5456
MEM 29.585938 1524473588.6460
MEM 29.585938 1524473588.7464
MEM 29.585938 1524473588.8469
MEM 29.585938 1524473588.9473
MEM 29.585938 1524473589.0477
MEM 29.585938 1524473589.1481
MEM 29.585938 1524473589.2485
MEM 29.585938 1524473589.3490
MEM 29.585938 1524473589.4494
MEM 29.585938 1524473589.5498
MEM 29.585938 1524473589.6502
MEM 29.585938 1524473589.7506
MEM 29.585938 1524473589.8510
MEM 29.585938 1524473589.9515
MEM 29.585938 1524473590.0520
MEM 29.585938 1524473590.1524
MEM 29.585938 1524473590.2528
MEM 29.585938 1524473590.3532
MEM 29.585938 1524473590.4536
MEM 29.585938 1524473590.5540
MEM 29.585938 1524473590.6544
MEM 29.585938 1524473590.7548
MEM 29.585938 1524473590.8553
MEM 29.585938 1524473590.9558
MEM 29.585938 1524473591.0563
MEM 29.585938 1524473591.1567
MEM 29.585938 1524473591.2571
MEM 29.585938 1524473591.3576
MEM 29.585938 1524473591.4580
MEM 29.585938 1524473591.5584
MEM 29.585938 1524473591.6588
MEM 29.585938 1524473591.7592
MEM 29.585938 1524473591.8597
MEM 29.585938 1524473591.9601
MEM 29.585938 1524473592.0605
MEM 29.585938 1524473592.1610
MEM 29.585938 1524473592.2614
MEM 29.585938 1524473592.3618
MEM 29.585938 1524473592.4621
MEM 29.585938 1524473592.5625
MEM 29.585938 1524473592.6630
MEM 29.585938 1524473592.7634
MEM 29.585938 1524473592.8638
MEM 29.585938 1524473592.9643
MEM 29.585938 1524473593.0647
MEM 29.585938 1524473593.1652
MEM 29.585938 1524473593.2656
MEM 29.585938 1524473593.3660
MEM 29.585938 1524473593.4664
MEM 29.585938 1524473593.5668
MEM 29.585938 1524473593.6672
MEM 29.585938 1524473593.7676
MEM 29.585938 1524473593.8681
MEM 29.585938 1524473593.9685
MEM 29.585938 1524473594.0691
MEM 29.585938 1524473594.1696
MEM 29.585938 1524473594.2700
MEM 29.585938 1524473594.3704
MEM 29.585938 1524473594.4708
MEM 29.585938 1524473594.5712
MEM 29.585938 1524473594.6716
MEM 29.585938 1524473594.7722
MEM 29.585938 1524473594.8726
MEM 29.585938 1524473594.9730
MEM 29.585938 1524473595.0735
MEM 29.585938 1524473595.1739
MEM 29.585938 1524473595.2743
MEM 29.585938 1524473595.3747
MEM 29.585938 1524473595.4751
MEM 29.585938 1524473595.5755
MEM 29.585938 1524473595.6759
MEM 29.585938 1524473595.7763
MEM 29.585938 1524473595.8768
MEM 29.585938 1524473595.9773
MEM 29.585938 1524473596.0778
MEM 29.585938 1524473596.1782
MEM 29.585938 1524473596.2786
MEM 29.585938 1524473596.3790
MEM 29.585938 1524473596.4794
MEM 29.585938 1524473596.5798
MEM 29.585938 1524473596.6802
MEM 29.585938 1524473596.7807
MEM 29.585938 1524473596.8811
MEM 29.585938 1524473596.9815
MEM 29.585938 1524473597.0819
MEM 29.585938 1524473597.1824
MEM 29.585938 1524473597.2828
MEM 29.585938 1524473597.3831
MEM 29.585938 1524473597.4835
MEM 29.585938 1524473597.5839
MEM 29.585938 1524473597.6843
MEM 29.585938 1524473597.7847
MEM 29.585938 1524473597.8852
MEM 29.585938 1524473597.9857
MEM 29.585938 1524473598.0862
MEM 29.585938 1524473598.1866
MEM 29.585938 1524473598.2871
MEM 29.585938 1524473598.3876
MEM 29.585938 1524473598.4880
MEM 29.585938 1524473598.5884
MEM 29.585938 1524473598.6888
MEM 29.585938 1524473598.7892
MEM 29.585938 1524473598.8897
MEM 29.585938 1524473598.9901
MEM 29.585938 1524473599.0905
MEM 29.585938 1524473599.1909
MEM 29.585938 1524473599.2913
MEM 29.585938 1524473599.3917
MEM 29.585938 1524473599.4921
MEM 29.585938 1524473599.5925
MEM 29.585938 1524473599.6929
MEM 29.585938 1524473599.7934
MEM 29.585938 1524473599.8938
MEM 29.585938 1524473599.9942
MEM 29.585938 1524473600.0946
MEM 29.585938 1524473600.1951
MEM 29.585938 1524473600.2955
MEM 29.585938 1524473600.3959
MEM 29.585938 1524473600.4962
MEM 29.585938 1524473600.5967
MEM 29.585938 1524473600.6970
MEM 29.585938 1524473600.7975
MEM 29.585938 1524473600.8980
MEM 29.585938 1524473600.9984
MEM 29.585938 1524473601.0989
MEM 29.585938 1524473601.1994
MEM 29.585938 1524473601.2998
MEM 29.585938 1524473601.4002
MEM 29.585938 1524473601.5006
MEM 29.585938 1524473601.6009
MEM 29.585938 1524473601.7013
MEM 29.585938 1524473601.8018
MEM 29.585938 1524473601.9022
MEM 29.585938 1524473602.0026
MEM 29.585938 1524473602.1030
MEM 29.585938 1524473602.2034
MEM 29.585938 1524473602.3039
MEM 29.585938 1524473602.4043
MEM 29.585938 1524473602.5047
MEM 29.585938 1524473602.6051
MEM 29.585938 1524473602.7055
MEM 29.585938 1524473602.8060
MEM 29.585938 1524473602.9064
MEM 29.585938 1524473603.0068
MEM 29.585938 1524473603.1073
MEM 29.585938 1524473603.2077
MEM 29.585938 1524473603.3082
MEM 29.585938 1524473603.4086
MEM 29.585938 1524473603.5090
MEM 29.585938 1524473603.6094
MEM 29.585938 1524473603.7097
MEM 29.585938 1524473603.8102
MEM 29.585938 1524473603.9106
MEM 29.585938 1524473604.0110
MEM 29.585938 1524473604.1115
MEM 29.585938 1524473604.2119
MEM 29.585938 1524473604.3123
MEM 29.585938 1524473604.4127
MEM 29.585938 1524473604.5131
MEM 29.585938 1524473604.6135
MEM 29.585938 1524473604.7139
MEM 29.585938 1524473604.8144
MEM 29.585938 1524473604.9148
MEM 29.585938 1524473605.0152
MEM 29.585938 1524473605.1158
MEM 29.585938 1524473605.2162
MEM 29.585938 1524473605.3166
MEM 29.585938 1524473605.4170
MEM 29.585938 1524473605.5174
MEM 29.585938 1524473605.6178
MEM 29.585938 1524473605.7182
MEM 29.585938 1524473605.8186
MEM 29.585938 1524473605.9191
MEM 29.585938 1524473606.0196
MEM 29.585938 1524473606.1200
MEM 29.585938 1524473606.2205
MEM 29.585938 1524473606.3209
MEM 29.585938 1524473606.4213
MEM 29.585938 1524473606.5217
MEM 29.585938 1524473606.6221
MEM 29.585938 1524473606.7225
MEM 29.585938 1524473606.8229
MEM 29.585938 1524473606.9233
MEM 29.585938 1524473607.0238
MEM 29.585938 1524473607.1242
MEM 29.585938 1524473607.2246
MEM 29.585938 1524473607.3251
MEM 29.585938 1524473607.4255
MEM 29.585938 1524473607.5259
MEM 29.585938 1524473607.6263
MEM 29.585938 1524473607.7267
MEM 29.585938 1524473607.8271
MEM 29.585938 1524473607.9275
MEM 29.585938 1524473608.0280
MEM 29.585938 1524473608.1284
MEM 29.585938 1524473608.2288
MEM 29.585938 1524473608.3293
MEM 29.585938 1524473608.4297
MEM 29.585938 1524473608.5301
MEM 29.585938 1524473608.6305
MEM 29.585938 1524473608.7309
MEM 29.585938 1524473608.8313
MEM 29.585938 1524473608.9317
MEM 29.585938 1524473609.0321
MEM 29.585938 1524473609.1326
MEM 29.585938 1524473609.2331
MEM 29.585938 1524473609.3335
MEM 29.585938 1524473609.4339
MEM 29.585938 1524473609.5343
MEM 29.585938 1524473609.6347
MEM 29.585938 1524473609.7351
MEM 29.585938 1524473609.8355
MEM 29.585938 1524473609.9359
MEM 29.585938 1524473610.0363
MEM 29.585938 1524473610.1367
MEM 29.585938 1524473610.2372
MEM 29.585938 1524473610.3376
MEM 29.585938 1524473610.4380
MEM 29.585938 1524473610.5384
MEM 29.585938 1524473610.6387
